municipality,region,latitude,longitude,russian_lang,elev,dist_road,pop_density,dist_russia,rebel_violence
Yavlenka,Donetsk,48.66667,37.23333,0.175455556,0.402332362,0.193655908,0.009694312,0.840593092,0
Yasnohirka,Donetsk,48.77421,37.55398,0.4275,0.192419825,0.211597168,0.238004568,0.702474881,0
Yasna Polyana,Donetsk,48.7478,37.52196,0.4259,0.241982507,0.132582245,0.257046466,0.723276086,0
Yasinovka,Luhansk,49.74583,37.98861,0.314744444,0.376093294,0.141572898,0.007864887,0.10308638,1
Yasynivka,Donetsk,48.13207,37.94162,0.616744444,0.559766764,0.330292034,0.153721565,0.379388858,1
Yasynuvata,Donetsk,48.1298,37.8594,0.634355556,0.766763848,0.218266268,0.279163677,0.408751546,1
Yashchykove,Luhansk,48.40287,38.73783,0.597333333,0.472303207,0.047641162,0.046204684,0.308124211,0
Yasenivskyy,Luhansk,48.16387,39.21972,0.568755556,0.78425656,0.036800835,0.142202349,0.167619682,0
Yarova,Donetsk,49.05899,37.64378,0.101177778,0.204081633,0.135434197,0.009950679,0.534876882,0
Yamy,Luhansk,49.76156,38.37218,0.4932,0.440233236,0.269078358,0.006915213,0.128844699,0
Yamshchitskiy,Donetsk,47.80417,38.685,0.299322222,0.265306122,0.140154612,0.015849296,0.060073799,0
Yampolivka,Donetsk,49.07077,37.95826,0.137166667,0.2303207,0.019568408,0.009892355,0.48268523,0
Yampil,Donetsk,48.93555,37.95634,0.133011111,0.148688047,0.017899019,0.009892355,0.558815397,1
Kamyshevataya,Donetsk,46.9667,37.1903,0.748355556,0.055393586,0.130325858,0.013302488,0.341537299,0
Yalta,Donetsk,48.0466,36.75181,0.429644444,0.265306122,0.078328876,0.010346503,0.917050813,1
Yalta,Donetsk,46.96279,37.27365,0.811277778,0.093294461,0.032137097,0.013302488,0.299433865,1
Yalynske,Donetsk,47.64531,36.9312,0.271111111,0.361516035,0.002151632,0.010990025,0.702782871,0
Yakovlivka,Donetsk,48.70853,38.14718,0.199233333,0.489795918,0.031657886,0.013675658,0.615401739,1
Yakovlivka,Donetsk,48.09026,37.82534,0.684422222,0.556851312,0.242581124,0.166195534,0.404906156,1
Yakovenko,Donetsk,47.96333,38.45528,0.333711111,0.510204082,0.305772676,0.007299015,0.183955161,0
Yablunivka,Donetsk,48.42149,37.61143,0.267255556,0.346938776,0.152596193,0.007055298,0.62459767,0
Vysoke,Donetsk,47.94407,38.05804,0.82174444444444406,0.551020408,0.334062042,0.126763239,0.25575835,0
Vysokopillya,Donetsk,48.77083,37.07411,0.109988889,0.504373178,0.131821167,0.009694312,0.842308054,0
Vysochynivka,Luhansk,49.70653,39.55013,0.059833333,0.530612245,0.302790839,0.007158514,0.021660022,0
Vyskryva,Luhansk,48.59164,38.28616,0.290855556,0.390670554,0.491443408,0.01644291,0.515116018,0
Vyskochkin,Luhansk,48.81667,39.05,0.754588889,0.253644315,0.0598617,0.00784662,0.359632649,0
Vyskochka,Luhansk,48.83472,39.0675,0.615911111,0.137026239,0.033821316,0.00784662,0.350165466,0
Vynoslivyy,Donetsk,47.8,38.16667,0.529222222,0.475218659,0.228406084,0.135216016,0.15440414,0
Vuhlyar,Donetsk,48.01599,38.05886,0.763144444,0.603498542,0.205180338,0.48748702,0.287238505,0
Khomenkove Druhe,Luhansk,49.6501,38.8239,0.029588889,0.405247813,0.283491259,0.00709268,0.11115427,0
Vrubivskyy,Luhansk,48.43611,39.10611,0.515488889,0.586005831,0.326463837,0.030088421,0.324409384,1
Vrubivka,Luhansk,48.76426,38.38391,0.202544444,0.565597668,0.441860498,0.016443633,0.569150558,0
Vremivka,Donetsk,47.83557,36.81671,0.352622222,0.311953353,0.02874634,0.010990025,0.826862974,0
Vozrozhdeniye,Donetsk,48.51667,38.21667,0.4202,0.626822157,0.148119668,0.013675658,0.508051046,0
Voznesenka,Donetsk,47.76923,38.04428,0.621222222,0.247813411,0.159322541,0.018529607,0.190604616,1
Vozdvizhenskiy,Donetsk,48.25,37.16667,0.2116,0.524781341,0.048419091,0.011367429,0.753451808,0
