year,state,Asian,Black,Hispanic,Indigenous,White,Female,Male,age20,age3045,age4565,age65,total
1991,HI,0.62918491,0.022462356,0.06234807,0.00333054,0.282674124,0.492964809,0.507035191,0.294490867,0.45498835,0.196027358,0.054493425,891447
1991,IA,0.008713805,0.015290176,0.01055784,0.001987079,0.9634511,0.522569199,0.477430801,0.272327098,0.417915332,0.216749226,0.093008345,2188137
1991,ID,0.008938481,0.002962306,0.046299889,0.011422539,0.930376785,0.50740641,0.49259359,0.288302759,0.448222165,0.193949832,0.069525245,775747
1991,IL,0.025221867,0.1364891,0.073216949,0.00156313,0.763508954,0.520962465,0.479037535,0.290564684,0.442038444,0.197727877,0.069668996,9042114
1991,IN,0.006896794,0.072233306,0.016285473,0.002019986,0.90256444,0.52221406,0.477785941,0.29208481,0.437589687,0.201538324,0.068787179,4403495
1991,KS,0.012299321,0.052130313,0.033864258,0.007529254,0.894176855,0.515670594,0.484329407,0.282630096,0.430826505,0.202862767,0.083680632,1927017
1991,KY,0.004689311,0.066536649,0.00543443,0.001310524,0.922029086,0.523188063,0.476811937,0.29211803,0.436669584,0.202060828,0.069151559,2932414
1991,LA,0.009425309,0.28476343,0.022292644,0.003960516,0.6795581,0.527041292,0.472958708,0.307680374,0.43875721,0.192428227,0.06113419,3222812
1991,MA,0.023706352,0.043231256,0.041985626,0.001734521,0.889342245,0.527555516,0.472444484,0.29456622,0.431198071,0.198289604,0.075946104,4849755
1991,MD,0.029884361,0.238692394,0.026251222,0.002580637,0.702591387,0.522190194,0.477809806,0.286597384,0.471994175,0.186691154,0.054717288,3832774
1991,ME,0.005053334,0.003595189,0.004677534,0.004347813,0.982326131,0.520039771,0.479960229,0.270283222,0.448198463,0.206289686,0.075228629,976583
1991,MI,0.011097559,0.130414079,0.019631479,0.00535613,0.833500752,0.521239537,0.478760464,0.291119749,0.446237425,0.198541176,0.06410165,7306021
1991,MN,0.014903915,0.018931929,0.010802601,0.009172179,0.946189375,0.51537146,0.48462854,0.284138391,0.45331995,0.186726915,0.075814743,3424268
1991,MO,0.008157094,0.099106252,0.0109825,0.003606039,0.878148116,0.526379357,0.473620643,0.277618531,0.430730581,0.210182042,0.081468845,4045436
1991,MS,0.004618853,0.32674162,0.00550029,0.002660943,0.660478294,0.531037027,0.468962973,0.311370139,0.416501072,0.200125588,0.072003201,1984259
1991,MT,0.004466186,0.002344345,0.012207038,0.04923446,0.931747972,0.509487017,0.490512983,0.256684768,0.457796961,0.208998156,0.076520116,620216
1991,NC,0.007773907,0.204806219,0.011450155,0.010862214,0.765107505,0.521168371,0.47883163,0.300205142,0.437125525,0.200745157,0.061924177,5410407
1991,ND,0.005054847,0.004445658,0.005784245,0.032604887,0.952110363,0.505753684,0.494246316,0.288446179,0.415948135,0.204357641,0.091248044,490816
1991,NE,0.007504054,0.032235116,0.021133284,0.005915171,0.933212376,0.518920895,0.481079106,0.278827808,0.428549916,0.205299641,0.087322634,1228536
