commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,pop,pctforeign,eAdminhead,eEducationhead,eHospitalHealthInsurance,eHousinghead,eSocialhead,eTotalhead,eTraffichead,eUtilitieshead,lowincome,lowincome_rate,sd_share,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,totalseats,unemp_rate,unemployed,pct1565,crime_vtheft
Høng,2004,15215,61,29,3.475551367,0,2,2,1,0.000119847,5718,579,8344,0.029362416,3.640100718,7.250119686,0,0.528283775,25.63350868,37.7020607,1.035834074,-0.385786206,3648,0.437200397,0.200000003,0,0,0,0,0,3,0,3,0,2,0,0,7,15,0.030441035,254,0.685282826,90
Hørning,2004,15026,50,18,2.121640921,0,0,0,0,0,5981,507,8484,0.022630835,4.462871075,9.408180237,0,0.356789261,20.35242844,35.15818024,1.040075421,-0.462164074,3576,0.421499282,0.461538464,0,0,2,0,0,5,0,6,0,0,0,0,0,13,0.029349364,249,0.704974055,68
Hørsholm,2004,34508,157,32,1.319805264,0,0,0,0,0,16277,1636,24246,0.051307432,4.859110832,9.072052956,0,1.063928127,20.97813988,36.4705925,0.742308021,-0.244947627,8982,0.370452851,0.06666667,0,0,7,0,0,4,0,1,0,0,0,0,3,15,0.019879568,482,0.671327233,189
Ikast,2004,43557,128,62,2.672989845,0,1,1,0,0,16381,1282,23195,0.047079112,4.107091904,7.421858311,0,0.839275718,23.73239899,36.9405899,1.000732899,-0.160767406,10861,0.468247473,0.294117659,0,1,3,1,0,7,0,5,0,0,0,0,0,17,0.036602717,849,0.706229806,190
Ishøj,2004,79157,217,145,6.987951756,0,6,6,0,0,15182,1219,20750,0.134072289,5.590313435,11.97894001,0,2.151277065,28.90997505,49.87026596,1.081253052,0.158506021,8020,0.386506021,0.588235319,0,0,1,2,0,2,0,10,0,2,0,0,0,17,0.041156627,854,0.731662631,362
Jelling,2004,10890,36,10,1.736714125,0,0,0,0,0,3868,342,5758,0.028134769,4.317645073,10.61514378,0,0.083362281,21.51545715,37.21674347,1.00712049,-0.321986794,2228,0.386939913,0.15384616,0,0,1,1,0,4,0,2,1,2,0,0,2,13,0.020666899,119,0.671761036,46
Jernløse,2004,9814,32,14,2.353732347,0,0,0,1,0.000168124,4210,365,5948,0.024882313,4.470746517,8.863147736,0,0.370376587,20.31556892,34.43510437,1.05934763,-0.644082069,2231,0.375084072,0.230769232,0,0,1,0,0,6,0,3,2,1,0,0,0,13,0.025386686,151,0.707800925,46
Juelsminde,2004,25897,75,29,1.88323915,0,0,0,0,0,10393,782,15399,0.026365349,3.747645855,8.189167976,0,0.426586151,21.92174911,34.4091835,0.783427477,-0.659393489,5915,0.384115845,0.210526317,0,0,2,1,0,10,0,4,0,1,0,0,1,19,0.025521137,393,0.674913943,104
Jægerspris,2004,22927,15,47,4.941126823,0,0,0,0,0,6744,490,9512,0.027964676,5.388877392,8.480761528,0,0.693229616,28.05561447,42.79930496,0.919259906,-0.738435686,2786,0.292893201,0.466666669,0,0,0,1,0,5,0,7,0,1,0,0,1,15,0.025756938,245,0.708999157,62
Kalundborg,2004,55647,101,97,4.855826855,0,3,3,0,0,14044,1053,19976,0.036143374,4.368692398,9.001551628,0,1.084701657,29.28414154,42.54044724,1.13626349,-2.33490181,7359,0.36839208,0.263157904,0,0,2,0,0,5,0,5,0,6,0,0,1,19,0.030937124,618,0.70304364,198
